date,closing,adjusted,evolution,quantity,volume
12/11/2021,"114,50","114,50","-0,87",1115,"127935,9"
15/11/2021,"116,40","116,40","1,66",802,"93056,6"
16/11/2021,"116,50","116,50","0,09",17637,"2053805,15"
17/11/2021,"115,00","115,00","-1,29",5147,"592006,55"
19/11/2021,"117,70","117,70","2,35",11281,"1329343,55"
22/11/2021,"117,90","117,90","0,17",623,"73453,75"
23/11/2021,"114,70","114,70","-2,71",118,"13587,1"
24/11/2021,"116,95","116,95","1,96",702,81904
25/11/2021,"116,90","116,90","-0,04",1385,"161430,8"
26/11/2021,"116,00","116,00","-0,77",1081,125357
29/11/2021,"114,00","114,00","-1,72",7637,"870298,55"
30/11/2021,"114,00","114,00","0,00",884,"100070,6"
01/12/2021,"115,00","115,00","0,88",1019,"117091,1"
02/12/2021,"115,00","115,00","0,00",2076,"238354,3"
