date,closing,adjusted,evolution,quantity,volume
15/03/2021,"1148,00","1148,00","0,00",1,1148
16/03/2021,"1148,00","1148,00","0,00",1,1148
17/03/2021,"1148,00","1148,00","0,00",1,1148
18/03/2021,"1148,00","1148,00","0,00",1,1148
19/03/2021,"1129,00","1129,00","-1,66",8,9032
22/03/2021,"1133,00","1133,00","0,35",1,1133
23/03/2021,"1141,00","1141,00","0,71",1,1141
24/03/2021,"1141,00","1141,00","0,00",1,1141
25/03/2021,"1146,00","1146,00","0,44",1,1146
26/03/2021,"1146,00","1146,00","0,00",1,1146
29/03/2021,"1130,00","1130,00","-1,40",39,44091
30/03/2021,"1136,00","1136,00","0,53",1,1136
31/03/2021,"1141,00","1141,00","0,44",1,1141
01/04/2021,"1162,00","1162,00","1,84",1,1162
02/04/2021,"1162,00","1162,00","0,00",1,1162
05/04/2021,"1162,00","1162,00","0,00",1,1162
06/04/2021,"1162,00","1162,00","0,00",1,1162
07/04/2021,"1162,00","1162,00","0,00",1,1162
08/04/2021,"1162,00","1162,00","0,00",1,1162
09/04/2021,"1162,00","1162,00","0,00",1,1162
12/04/2021,"1162,00","1162,00","0,00",1,1162
13/04/2021,"1162,00","1162,00","0,00",1,1162
14/04/2021,"1162,00","1162,00","0,00",1,1162
15/04/2021,"1162,00","1162,00","0,00",1,1162
16/04/2021,"1162,00","1162,00","0,00",1,1162
19/04/2021,"1162,00","1162,00","0,00",1,1162
20/04/2021,"1162,00","1162,00","0,00",1,1162
21/04/2021,"1162,00","1162,00","0,00",1,1162
22/04/2021,"1162,00","1162,00","0,00",1,1162
23/04/2021,"1162,00","1162,00","0,00",1,1162
26/04/2021,"1162,00","1162,00","0,00",1,1162
27/04/2021,"1162,00","1162,00","0,00",1,1162
28/04/2021,"1162,00","1162,00","0,00",1,1162
29/04/2021,"1162,00","1162,00","0,00",1,1162
30/04/2021,"1142,00","1142,00","-1,72",23,26266
03/05/2021,"1151,00","1151,00","0,79",1,1151
04/05/2021,"1163,00","1163,00","1,04",1,1163
05/05/2021,"1167,00","1167,00","0,34",1,1167
06/05/2021,"1189,00","1189,00","1,89",7,8323
07/05/2021,"1189,00","1189,00","0,00",1,1189
10/05/2021,"1190,00","1190,00","0,08",1,1190
11/05/2021,"1190,00","1190,00","0,00",1,1190
12/05/2021,"1200,00","1200,00","0,84",1,1200
17/05/2021,"1200,00","1200,00","0,00",0,0
18/05/2021,"1222,00","1222,00","1,83",2,2430
19/05/2021,"1201,00","1201,00","-1,72",1,1201
20/05/2021,"1201,00","1201,00","0,00",1,1201
21/05/2021,"1201,00","1201,00","0,00",1,1201
24/05/2021,"1202,00","1202,00","0,08",23,27646
25/05/2021,"1202,00","1202,00","0,00",1,1202
26/05/2021,"1202,00","1202,00","0,00",1,1202
27/05/2021,"1202,00","1202,00","0,00",1,1202
28/05/2021,"1202,00","1202,00","0,00",1,1202
31/05/2021,"1202,00","1202,00","0,00",1,1202
01/06/2021,"1200,00","1200,00","-0,17",2495,2994000
02/06/2021,"1202,00","1202,00","0,17",1,1202
03/06/2021,"1212,00","1212,00","0,83",1,1212
04/06/2021,"1212,00","1212,00","0,00",1,1212
07/06/2021,"1212,00","1212,00","0,00",1,1212
08/06/2021,"1215,00","1215,00","0,25",2500,3037500
09/06/2021,"1200,00","1200,00","-1,23",4502,5492071
10/06/2021,"1190,00","1190,00","-0,83",1,1190
11/06/2021,"1220,00","1220,00","2,52",1,1220
14/06/2021,"1221,00","1221,00","0,08",186,227106
15/06/2021,"1221,00","1221,00","0,00",1171,1429791
16/06/2021,"1225,00","1225,00","0,33",1,1225
17/06/2021,"1225,00","1225,00","0,00",1,1225
18/06/2021,"1204,00","1204,00","-1,71",100,120400
21/06/2021,"1212,00","1212,00","0,66",1,1212
22/06/2021,"1212,00","1212,00","0,00",1,1212
23/06/2021,"1212,00","1212,00","0,00",1,1212
24/06/2021,"1212,00","1212,00","0,00",1,1212
25/06/2021,"1225,00","1225,00","1,07",21,25725
28/06/2021,"1225,00","1225,00","0,00",1,1225
29/06/2021,"1225,00","1225,00","0,00",1,1225
30/06/2021,"1225,00","1225,00","0,00",1,1225
01/07/2021,"1225,00","1225,00","0,00",1,1225
02/07/2021,"1225,00","1225,00","0,00",1,1225
05/07/2021,"1225,00","1225,00","0,00",1,1225
06/07/2021,"1225,00","1225,00","0,00",1,1225
07/07/2021,"1225,00","1225,00","0,00",1,1225
08/07/2021,"1225,00","1225,00","0,00",1,1225
09/07/2021,"1225,00","1225,00","0,00",1,1225
12/07/2021,"1225,00","1225,00","0,00",1,1225
13/07/2021,"1225,00","1225,00","0,00",1,1225
14/07/2021,"1225,00","1225,00","0,00",1,1225
15/07/2021,"1225,00","1225,00","0,00",1,1225
16/07/2021,"1225,00","1225,00","0,00",1,1225
19/07/2021,"1225,00","1225,00","0,00",1,1225
20/07/2021,"1225,00","1225,00","0,00",1,1225
23/07/2021,"1225,00","1225,00","0,00",1,1225
26/07/2021,"1225,00","1225,00","0,00",1,1225
27/07/2021,"1225,00","1225,00","0,00",1,1225
28/07/2021,"1225,00","1225,00","0,00",1,1225
29/07/2021,"1225,00","1225,00","0,00",1,1225
02/08/2021,"1233,00","1233,00","0,65",1,1233
03/08/2021,"1233,00","1233,00","0,00",1,1233
04/08/2021,"1233,00","1233,00","0,00",1,1233
05/08/2021,"1248,00","1248,00","1,22",1,1248
06/08/2021,"1246,00","1246,00","-0,16",1,1246
09/08/2021,"1246,00","1246,00","0,00",1,1246
11/08/2021,"1246,00","1246,00","0,00",1,1246
12/08/2021,"1246,00","1246,00","0,00",1,1246
13/08/2021,"1246,00","1246,00","0,00",1,1246
16/08/2021,"1203,00","1203,00","0,33",1,1203
17/08/2021,"1203,00","1203,00","0,00",1,1203
18/08/2021,"1205,00","1205,00","0,17",1,1205
19/08/2021,"1225,00","1225,00","1,66",50,61250
23/08/2021,"1228,00","1228,00","0,24",1,1228
24/08/2021,"1225,00","1225,00","-0,24",1,1225
25/08/2021,"1202,00","1202,00","-1,88",4,4808
26/08/2021,"1212,00","1212,00","0,83",1,1212
27/08/2021,"1212,00","1212,00","0,00",1,1212
30/08/2021,"1235,00","1235,00","1,90",10,12334
31/08/2021,"1212,00","1212,00","-1,86",10,12120
01/09/2021,"1212,00","1212,00","0,00",1,1212
02/09/2021,"1220,00","1220,00","0,66",1000,1220000
03/09/2021,"1220,00","1220,00","0,00",97,118340
06/09/2021,"1220,00","1220,00","0,00",1,1220
07/09/2021,"1220,00","1220,00","0,00",1,1220
08/09/2021,"1220,00","1220,00","0,00",1,1220
09/09/2021,"1220,00","1220,00","0,00",1,1220
10/09/2021,"1220,00","1220,00","0,00",1,1220
13/09/2021,"1220,00","1220,00","0,00",1,1220
